date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2015-12-31,0,0,2697,False,Recommended,ihs so good,Rocket League®
2015-12-11,0,0,18,False,Recommended,A fanastic game with spotty matchmaking and a sony servers. Than your fine. But If you find a lack of a server browser Insulting than advoid it. I would encourage you playing this game thou,Rocket League®
2015-12-11,0,0,400,False,Recommended,It's like playing with Hot Wheels but on crack,Rocket League®
2015-12-11,0,0,49,False,Recommended,I played this game at VidCon 2015 at the XSplit booth and I had to have more so I bought the game on Steam's iOS app along with a separate Xbox controller so I could play it when I got back. I have had so much fun with this game both alone and with my team Team Inferno. (By the way ZombiGamingMC and I both put out videos of Rocket League with Team Inferno if you're interested.) If you want a sport game to play on PC I highly recommend Rocket League.,Rocket League®
2015-09-22,0,0,230,False,Recommended,Pretty good with a very nice concept.Pros Good kicking gameplay Decent graphics Decent Cons Toxic Community *Half the community are scumbags that either leave you in a ranked match or say you suck af both teammates and enemy Players that leave you in a ranked match (you're guaranteed to lose unless you're better than the other team combined)Watched a game review of it and saw gameplay got me hooked by the first 10s of gameplay.,Rocket League®
2018-07-12,0,0,3,False,Recommended,Incredibly fun game multiplayer is awesome!,Rocket League®
2018-07-12,0,0,1205,False,Recommended,10/10 ruined my life anger issues &amp mental breakdowns every now &amp then. atleast i got champ,Rocket League®
2018-07-12,0,0,67,False,Recommended,This is just and pure FUN!!!! 10/10.,Rocket League®
2018-07-12,0,0,633,False,Recommended,nice gamee !,Rocket League®
2016-08-11,0,0,1364,False,Recommended,This is easily my most played game to date. It is extremely addicting and if you are willing to put the time into it and ignore the toxcicty SOME players think is okay. Your experience will be amazing.9.4/10,Rocket League®
2018-07-12,0,0,1,False,Recommended,Product received for free. as vrea sal am darnumi place,Rocket League®
2018-07-12,0,0,0,False,Recommended,Rocket Ball,Rocket League®
2016-07-07,0,0,487,False,Recommended,I suck so bad but it hurts so good.edit 2 years later I don't suck anymore but it still hurts. Still recommend.,Rocket League®
2017-10-11,0,0,1073,False,Not Recommended,A very great game in the hands of a very horrible company! Servers issues have been there for all these three years and apart from all of those stupid server problems the game is not available to be played in countries like my country which is Iran we always have to use some sort of f***ing vpn to play it and it causes more problems to these already horrible servers! Why the would you block players of some country? We complain about stupid country government's but some gaming companies are much more worse!Btw YOU PSYONIX have added Iran's flag in country flags in antennas what kind of is this? You block the players but you add the flag? WOW! WOW! WOW! WOW! Chat Disabled for 4 Seconds!,Rocket League®
2018-07-12,0,0,12,False,Recommended,Product received for free. cool game,Rocket League®
2018-07-12,0,0,1,False,Not Recommended,Product received for free. ha que porque n deixa de graça agora me deu é mais desgosto do que voltade de jogar,Rocket League®
2018-07-12,0,0,4,False,Recommended,A very cool game to spend time on. It won't bore you even if you are playing with random players. Super fun and awesome. I recommend this game 10/10,Rocket League®
2018-03-09,0,0,761,False,Not Recommended,THERE are three hackerssteam name intoxicatedtaruno harunoLisa (The Japanese Man) Uchiha With their skill it is impossible to be 'semi pro'Their Level Titles are fake!!!,Rocket League®
2018-07-12,0,0,2,False,Recommended,Product received for free. Not expectedly I highly enjoyed Rocket League and found it to be quite addicting. I played it for a short time on a free weekend and while my experience was very limited I found it difficult to stop playing I would highly recommend a purchase of this game. Being a fan of soccer is not a prerequisite. Thank you Psyonix!,Rocket League®
2018-07-12,0,0,530,False,Recommended,I'm confused you can't buy keys on steam app you have to go in game and have to add 4.00 minumum just to buy 1 key.Please fix thank you.,Rocket League®
2018-07-12,0,0,20,False,Recommended,Even if it was damn hard to get used to this game I enjoyed every second playing it.,Rocket League®
